1kP_Sample	Clade	Family	Species	Tissue Type	Status	Voucher Data	Sample Provider	RNA Extractor
URDJ	Basalmost angiosperms	Amborellaceae	Amborella trichopoda	leaves	sequenced	Soltis and Miles 2778	D. Soltis	BGI
WTKZ	Basalmost angiosperms	Nymphaeaceae	Nuphar advena	young leaves	sequenced	Soltis and Miles 2783	D. Soltis	BGI
PZRT	Basalmost angiosperms	Nymphaeaceae	Nymphaea sp.	young leaves	sequenced	T. Chen et al. 2010090805	Tao Chen	BGI
ROAP	Basalmost angiosperms	Schisandraceae (incl. Illiciac.)	Illicium parviflorum	leaves	sequenced	Soltis and Miles 2799	D. Soltis	BGI
VZCI	Basalmost angiosperms	Schisandraceae (incl. Illiciac.)	Illicium floridanum	young leaves	sequenced	Soltis and Miles 2960	D. Soltis	D. Soltis
NWMY	Basalmost angiosperms	Schisandraceae (incl. Illiciac.)	Kadsura heteroclita	leaves	sequenced	T. Chen et. al. 081210-04	Tao Chen	BGI
FZJL	Basalmost angiosperms	Austrobaileyaceae	Austrobaileya scandens	young shoot	sequenced	JLM2013-22 (GA)	J. Leebens-Mack	J. Leebens-Mack
NPND	Basalmost angiosperms	Ceratophyllaceae	Ceratophyllum demersum	leaves	sequenced	Soltis and Miles 2755	D. Soltis	BGI
DDEV	Magnoliids	Canellaceae	Canella winterana	young leaves	sequenced	Soltis and Miles 2995	D. Soltis	I. Jordon-Thaden
IFCJ	Magnoliids	Canellaceae	Canella winterana	young leaves	sequenced	Soltis and Miles 2995	D. Soltis	D. Soltis
WKSU	Magnoliids	Winteraceae	Drimys winteri	leaves	sequenced	Soltis and Miles 2843	D. Soltis	BGI
WAIL	Magnoliids	Atherospermataceae	Laurelia sempervirens		sequenced		J. Leebens-Mack	J. Leebens-Mack
FALI	Magnoliids	Calycanthaceae	Calycanthus floridus	leaves	sequenced	Soltis and Miles 2752	D. Soltis	BGI
WPHN	Magnoliids	Calycanthaceae	Idiospermum australiense	young shoot	sequenced	JLM2013-45 (GA)	J. Leebens-Mack	J. Leebens-Mack
MAQO	Magnoliids	Gomortegaceae	Gomortega keule		sequenced		J. Leebens-Mack	J. Leebens-Mack
BSVG	Magnoliids	Hernandiaceae	Gyrocarpus americanus	young leaves	sequenced	Soltis and Miles 2908	D. Soltis	BGI
BCGB	Magnoliids	Lauraceae	Cinnamomum camphora	leaves	sequenced	DWS NY424/43	D. W. Stevenson	BGI
ABSS	Magnoliids	Lauraceae	Sassafras albidum	young leaves	sequenced	Soltis and Miles 2914	D. Soltis	BGI
KAYP	Magnoliids	Lauraceae	Lindera benzoin	young leaves	sequenced	Soltis & Miles 2968	D. Soltis	D. Soltis
WIGA	Magnoliids	Lauraceae	Persea borbonia	young leaves and shoots	sequenced	Soltis and Miles 2980	D. Soltis	D. Soltis
VYLQ	Magnoliids	Lauraceae	Cassytha filiformis		sequenced		J. Leebens-Mack	J. Leebens-Mack
KRJP	Magnoliids	Monimiaceae	Peumus boldus	leaves	sequenced	Chase 34466 K	M. Chase	BGI
YZRI	Magnoliids	Annonaceae	Annona muricata	leaves	sequenced	Soltis and Miles 2753	D. Soltis	BGI
PSJT	Magnoliids	Annonaceae	Uvaria microcarpa	young leaves	sequenced	T. Chen et. al. 2010090803	Tao Chen	BGI
DHPO	Magnoliids	Eupomatiaceae	Eupomatia bennettii	leaves	sequenced	Soltis and Miles 2750	D. Soltis	BGI
XQWC	Magnoliids	Magnoliaceae	Michelia maudiae	young leaves	sequenced	Soltis and Miles 2954	D. Soltis	D. Soltis
WBOD	Magnoliids	Magnoliaceae	Magnolia grandiflora	leaves	sequenced	Soltis and Miles 2764	D. Soltis	BGI
OBPL	Magnoliids	Myristicaceae	Myristica fragrans	leaves	sequenced	Chase 33144	M. Chase	BGI
PAWA	Magnoliids	Aristolochiaceae	Aristolochia elegans	leaves	sequenced	Soltis and Miles 2754	D. Soltis	BGI
QDVW	Magnoliids	Aristolochiaceae	Saruma henryi	leaves	sequenced	in preparation	C. dePamphilis	C. dePamphilis
MUNP	Magnoliids	Piperaceae	Piper auritum	leaves	sequenced	Soltis and Miles 2794	D. Soltis	BGI
XSZI	Magnoliids	Piperaceae	Peperomia fraseri	"flowers	 stem	 leaves"	sequenced	132712 (ALTA)	M. Deyholos	M. Deyholos
OPDF	Magnoliids	Saururaceae	Saururus cernuus	leaves	sequenced	Soltis and Miles 2784	D. Soltis	BGI
CSSK	Magnoliids	Saururaceae	Houttuynia cordata	leaves	sequenced	T. Chen et. al. 081210-03	Tao Chen	BGI
WPYJ	Magnoliids	Frankeniaceae	Frankenia laevis		sequenced	JLM2013-41 (GA)	J. Leebens-Mack	J. Leebens-Mack
OSHQ	Chloranthales	Chloranthaceae	Sarcandra glabra	leaves	sequenced	T. Chen et. al. 081210-04	Tao Chen	BGI
WZFE	Chloranthales	Chloranthaceae	Ascarina rubricaulis		sequenced		J. Leebens-Mack	J. Leebens-Mack
IWMW	Basal Eudicots	Buxaceae	Buxus sempervirens	green branch with attached leaves	sequenced	132722 (ALTA)	M. Deyholos	M. Deyholos
AALA	Basal Eudicots	Sabiaceae	Meliosma cuneifolia	leaves	sequenced	Chase 33142	M. Chase	BGI
SWOH	Basal Eudicots	Trochodendraceae	Trochodendron aralioides	young leaves and flowers	sequenced	DWS NY 334/82A	D. W. Stevenson	BGI
FAKD	Basal Eudicots	Nelumbonaceae	Nelumbo sp.	leaves	sequenced	Chase 34460 K	M. Chase	BGI
GRRW	Basal Eudicots	Proteaceae	Grevillea robusta	leaves	sequenced	Soltis and Miles 2758	D. Soltis	BGI
REOF	Basal Eudicots	Proteaceae	Hakea prostrata	young roots	sequenced	Perth 07984049	R. Jost	R. Jost
OBOJ	Basal Eudicots	Proteaceae	Hakea prostrata	young leaves	sequenced	Perth 07984049	R. Jost	R. Jost
SIIK	Basal Eudicots	Proteaceae	Hakea drupacea	young shoot	sequenced	J. Clopton 212 (PERTH)	P. M. Finnegan	R. Jost
VQFW	Basal Eudicots	Platanaceae	Platanus occidentalis	leaves	sequenced	Soltis and Miles 2757	D. Soltis	BGI
WFBF	Basal Eudicots	Berberidaceae	Podophyllum peltatum	leaves and root	sequenced	in preparation	M. Deyholos	M. Deyholos
YHFG	Basal Eudicots	Berberidaceae	Nandina domestica	young leaves and flower buds	sequenced	Soltis and Miles 2972	D. Soltis	D. Soltis
QTJY	Basal Eudicots	Eupteleaceae	Euptelea pleiosperma	leaves	sequenced	Chase 33135 	M. Chase	BGI
CCID	Basal Eudicots	Lardizabalaceae	Akebia trifoliata	leaves	sequenced	Soltis and Miles 2751	D. Soltis	BGI
LVNW	Basal Eudicots	Menispermaceae	Cocculus laurifolius	leaves	sequenced	Soltis and Miles 2837	D. Soltis	BGI
NMGG	Basal Eudicots	Fumariaceae	Hypecoum procumbens		sequenced		J. Leebens-Mack	J. Leebens-Mack
AUGV	Basal Eudicots	Papaveraceae	Capnoides sempervirens		sequenced		J. Leebens-Mack	J. Leebens-Mack
UDHA	Basal Eudicots	Papaveraceae	Ceratocapnos vesicaria		sequenced		J. Leebens-Mack	J. Leebens-Mack
XHKT	Basal Eudicots	Papaveraceae	Sanguinaria canadensis	young shoot and flower buds	sequenced	JLM2013-65 (GA)	J. Leebens-Mack	J. Leebens-Mack
YDEH	Basal Eudicots	Papaveraceae	Argemone mexicana	leaf	sequenced	T. Kutchan 6173585 (MO)	T. Kutchan	T. Kutchan
GOQJ	Basal Eudicots	Papaveraceae	Argemone mexicana	stem	sequenced	T. Kutchan 6173585 (MO)	T. Kutchan	T. Kutchan
SMZF	Basal Eudicots	Papaveraceae	Argemone mexicana	root	sequenced	T. Kutchan 6173585 (MO)	T. Kutchan	T. Kutchan
CCHG	Basal Eudicots	Papaveraceae	Argemone mexicana	flower bud	sequenced	T. Kutchan 6173585 (MO)	T. Kutchan	T. Kutchan
BFMT	Basal Eudicots	Papaveraceae	Argemone mexicana	developing fruit	sequenced	T. Kutchan 6173585 (MO)	T. Kutchan	T. Kutchan
UNPT	Basal Eudicots	Papaveraceae	Eschscholzia californica	leaf	sequenced	T. Kutchan 6173583 (MO)	T. Kutchan	T. Kutchan
NJKC	Basal Eudicots	Papaveraceae	Eschscholzia californica	stem	sequenced	T. Kutchan 6173583 (MO)	T. Kutchan	T. Kutchan
RKGT	Basal Eudicots	Papaveraceae	Eschscholzia californica	root	sequenced	T. Kutchan 6173583 (MO)	T. Kutchan	T. Kutchan
TUHA	Basal Eudicots	Papaveraceae	Eschscholzia californica	flower bud	sequenced	T. Kutchan 6173583 (MO)	T. Kutchan	T. Kutchan
RRID	Basal Eudicots	Papaveraceae	Papaver bracteatum	leaf	sequenced	waiting for bloom 2010-03-17	T. Kutchan	T. Kutchan
TMWO	Basal Eudicots	Papaveraceae	Papaver bracteatum	bulb	sequenced	waiting for bloom 2010-03-17	T. Kutchan	T. Kutchan
ZSNV	Basal Eudicots	Papaveraceae	Papaver bracteatum	root	sequenced	waiting for bloom 2010-03-17	T. Kutchan	T. Kutchan
ACYX	Basal Eudicots	Papaveraceae	Papaver rhoeas	leaf	sequenced	T. Kutchan 6173586 (MO)	T. Kutchan	T. Kutchan
GMAM	Basal Eudicots	Papaveraceae	Papaver rhoeas	stem	sequenced	T. Kutchan 6173586 (MO)	T. Kutchan	T. Kutchan
QZBA	Basal Eudicots	Papaveraceae	Papaver rhoeas	root	sequenced	T. Kutchan 6173586 (MO)	T. Kutchan	T. Kutchan
IORZ	Basal Eudicots	Papaveraceae	Papaver rhoeas	flower bud	sequenced	T. Kutchan 6173586 (MO)	T. Kutchan	T. Kutchan
MVTX	Basal Eudicots	Papaveraceae	Papaver rhoeas	developing fruit	sequenced	T. Kutchan 6173586 (MO)	T. Kutchan	T. Kutchan
FNXH	Basal Eudicots	Papaveraceae	Papaver setigerum	leaf	sequenced	T. Kutchan 6173582 (MO)	T. Kutchan	T. Kutchan
MLPX	Basal Eudicots	Papaveraceae	Papaver setigerum	stem	sequenced	T. Kutchan 6173582 (MO)	T. Kutchan	T. Kutchan
JSVC	Basal Eudicots	Papaveraceae	Papaver setigerum	root	sequenced	T. Kutchan 6173582 (MO)	T. Kutchan	T. Kutchan
STDO	Basal Eudicots	Papaveraceae	Papaver setigerum	flower bud	sequenced	T. Kutchan 6173582 (MO)	T. Kutchan	T. Kutchan
EPRK	Basal Eudicots	Papaveraceae	Papaver setigerum	developing fruit	sequenced	T. Kutchan 6173582 (MO)	T. Kutchan	T. Kutchan
BMRX	Basal Eudicots	Papaveraceae	Papaver somniferum	leaf	sequenced	T. Kutchan 6173586 (MO)	T. Kutchan	T. Kutchan
SUFP	Basal Eudicots	Papaveraceae	Papaver somniferum	stem	sequenced	T. Kutchan 6173586 (MO)	T. Kutchan	T. Kutchan
MIKW	Basal Eudicots	Papaveraceae	Papaver somniferum	root	sequenced	T. Kutchan 6173586 (MO)	T. Kutchan	T. Kutchan
FPYZ	Basal Eudicots	Papaveraceae	Papaver somniferum	flower bud	sequenced	T. Kutchan 6173586 (MO)	T. Kutchan	T. Kutchan
KKCW	Basal Eudicots	Papaveraceae	Papaver somniferum	developing fruit	sequenced	T. Kutchan 6173586 (MO)	T. Kutchan	T. Kutchan
ZGQD	Basal Eudicots	Papaveraceae	Corydalis linstowiana	leaves	sequenced	Chase 34442 K	M. Chase	BGI
XMVD	Basal Eudicots	Papaveraceae	Chelidonium majus	leaf	sequenced	M.K. Deyholos 2016-100	M. Deyholos	Yu Yang
ZUHO	Basal Eudicots	Ranunculaceae	Anemone hupehensis	leaf	sequenced		D. W. Stevenson	BGI
GBVZ	Basal Eudicots	Ranunculaceae	Thalictrum thalictroides	floral buds	sequenced	V. Di Stilio 123 (WTU)	V. Di Stilio	V. Di Stilio
VGHH	Basal Eudicots	Ranunculaceae	Hydrastis canadensis	young shoots and flowers	sequenced	JLM2013-44 (GA)	J. Leebens-Mack	J. Leebens-Mack
CYVA	Basal Eudicots	Ranunculaceae	Cimicifuga racemosa	root and shoot	sequenced		M. Deyholos	M. Deyholos
UPOG	Basal Eudicots	Ranunculaceae	Anemone pulsatilla	leaf	sequenced	M.K. Deyholos 2016-101	M. Deyholos	Yu Yang
XMQO	Basal Eudicots	Gunneraceae	Gunnera manicata	young leaves	sequenced	Soltis and Miles 2938	D. Soltis	I. Jordon-Thaden
QUTB	Basal Eudicots	Aextoxicaceae	Aextoxicon punctatum	leaves	sequenced	Chase 33145	M. Chase	BGI
HAEU	Basal Eudicots	Berberidopsidaceae	Berberidopsis beckleri	leaves	sequenced	Chase 33137	M. Chase	BGI
EHNF	Basal Eudicots	Dilleniaceae	Dillenia indica	leaves	sequenced	Soltis and Miles 2768	D. Soltis	BGI
OKEF	Basal Eudicots	Dilleniaceae	Hibbertia grossulariifolia		sequenced		J. Leebens-Mack	J. Leebens-Mack
BJKT	Core Eudicots	Aizoaceae	Delosperma echinatum	leaves and young flowers	sequenced	Soltis and Miles 2832	D. Soltis	BGI
GJNX	Core Eudicots	Aizoaceae	Cypselea humifusa	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
HZTS	Core Eudicots	Aizoaceae	Sesuvium portulacastrum	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
OPZX	Core Eudicots	Aizoaceae	Sesuvium verrucosum	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
ZJDK	Core Eudicots	Aizoaceae	Sesuvium verrucosum	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
QNIK	Core Eudicots	Aizoaceae	Trianthema portulacastrum	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
TNVE	Core Eudicots	Aizoaceae	Trianthema portulacastrum	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
BERS	Core Eudicots	Aizoaceae	Zaleya pentandra	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
VKOE	Core Eudicots	Amaranthaceae	Aerva lanata	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
EMIG	Core Eudicots	Amaranthaceae	Aerva lanata	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
MEAH	Core Eudicots	Amaranthaceae	Aerva persica	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
GBCQ	Core Eudicots	Amaranthaceae	Aerva persica	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
JBGU	Core Eudicots	Amaranthaceae	Amaranthus palmeri	leaves and stems	sequenced	Chance	N. Stewart	N. Stewart
XSSD	Core Eudicots	Amaranthaceae	Amaranthus tricolor	"young leaves	 stem	 and flowers"	sequenced	132716 (ALTA)	M. Deyholos	M. Deyholos
WMLW	Core Eudicots	Amaranthaceae	Amaranthus retroflexus	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
CUTE	Core Eudicots	Amaranthaceae	Blutaparon vermiculare	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
WGET	Core Eudicots	Amaranthaceae	Kochia scoparia	stem and leaves	sequenced	M.K. Deyholos 2016-102	M. Deyholos	M. Deyholos
BDIW	Core Eudicots	Chenopodiaceae	Atriplex hortensis	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
AKTA	Core Eudicots	Chenopodiaceae	Atriplex hortensis	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
MUCT	Core Eudicots	Chenopodiaceae	Atriplex prostrata	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
PDXY	Core Eudicots	Chenopodiaceae	Atriplex rosea	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
LBZM	Core Eudicots	Chenopodiaceae	Atriplex rosea	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
SMMC	Core Eudicots	Amaranthaceae	Chenopodium quinoa	leaves and buds	sequenced	Ames 13220 (UWA)	M. Nelson	M. Nelson
KTQI	Core Eudicots	Amaranthaceae	Alternanthera brasiliana	mature leaf	sequenced		J. Hibberd	J. Hibberd
ENCD	Core Eudicots	Amaranthaceae	Alternanthera brasiliana	juvenile leaf	sequenced		J. Hibberd	J. Hibberd
WGUG	Core Eudicots	Amaranthaceae	Alternanthera caracasana	mature leaf	sequenced		J. Hibberd	J. Hibberd
LUNL	Core Eudicots	Amaranthaceae	Alternanthera sessilis	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
OYST	Core Eudicots	Amaranthaceae	Alternanthera sessilis	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
DEMH	Core Eudicots	Amaranthaceae	Alternanthera tenella	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
DBCE	Core Eudicots	Amaranthaceae	Alternanthera tenella	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
FVXD	Core Eudicots	Amaranthaceae	Beta maritima	leaves	sequenced	Cheeseman UIUC003	J. Cheeseman	J. Cheeseman
HSXO	Core Eudicots	Ancistrocladaceae	Ancistrocladus tectorius	young leaves	low quality	T. Chen et. al. 2010090809	Tao Chen	BGI
CTYH	Core Eudicots	Basellaceae	Basella alba	leaves	sequenced	Chase 33139 	M. Chase	BGI
JLOV	Core Eudicots	Cactaceae	Pereskia aculeata	young leaves	low quality	Soltis and Miles 2831	J. Leebens-Mack	BGI
CPKP	Core Eudicots	Cactaceae	Lophophora williamsii	whole plant (no flower)	sequenced	M.K. Deyholos 2016-103	M. Deyholos	M. Deyholos
QAIR	Core Eudicots	Cactaceae	Opuntia polyacantha	paddle	sequenced	132751 (ALTA)	M. Deyholos	M. Deyholos
SKNL	Core Eudicots	Caryophyllaceae	Saponaria officinalis	"flower	 fruit	 stem	 leaves"	sequenced	132760 (ALTA)	M. Deyholos	M. Deyholos
RXEN	Core Eudicots	Caryophyllaceae	Polycarpaea repens	green leaves and shoots	sequenced		Dmitry Filatov	BGI
TJES	Core Eudicots	Caryophyllaceae	Spergularia media	leaves	sequenced	CheesemanUIUC007	J. Cheeseman	J. Cheeseman
OLES	Core Eudicots	Caryophyllaceae	Schiedea membranacea		sequenced	Weller and Sakai 864 192-30	D. Soltis	J. Leebens-Mack
SHEZ	Core Eudicots	Caryophyllaceae	Dianthus caryophyllus	leaves and young flowers	sequenced	Soltis and Miles 2849	D. Soltis	BGI
FZQN	Core Eudicots	Caryophyllaceae	Silene latifolia	"flowers	 leaves	 stem"	sequenced	J.R. McDill 2011-8	M. Deyholos	M. Deyholos
RNBN	Core Eudicots	Molluginaceae	Mollugo cerviana	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
CUVY	Core Eudicots	Molluginaceae	Mollugo nudicaulis	juvenile leaf	sequenced		J. Hibberd	J. Hibberd
UNSW	Core Eudicots	Molluginaceae	Mollugo nudicaulis	mature leaf	sequenced		J. Hibberd	J. Hibberd
HURS	Core Eudicots	Molluginaceae	Mollugo pentaphylla	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
BZMI	Core Eudicots	Molluginaceae	Mollugo spp.	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
QASA	Core Eudicots	Molluginaceae	Mollugo verticillata	juvenile leaf	sequenced		J. Hibberd	J. Hibberd
OFWX	Core Eudicots	Molluginaceae	Mollugo verticillata	mature leaf	sequenced		J. Hibberd	J. Hibberd
WQUF	Core Eudicots	Nepenthaceae	Nepenthes alata	lower leaf	sequenced	Miles 58	D. Soltis	BGI
JAFJ	Core Eudicots	Nyctaginaceae	Bougainvillea spectabilis	leaves	sequenced	Soltis and Miles 2777	D. Soltis	BGI
DVXD	Core Eudicots	Nyctaginaceae	Allionia incarnata	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
EGOS	Core Eudicots	Nyctaginaceae	Allionia incarnata	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
WHHY	Core Eudicots	Nyctaginaceae	Boerhavia coccinea	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
MBWM	Core Eudicots	Nyctaginaceae	Boerhavia coccinea	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
HUGU	Core Eudicots	Nyctaginaceae	Boerhavia burbidgeana	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
GDYP	Core Eudicots	Nyctaginaceae	Boerhavia burbidgeana	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
GQAV	Core Eudicots	Nyctaginaceae	Mirabilis jalapa	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
DZRA	Core Eudicots	Nyctaginaceae	Mirabilis jalapa	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
RUUB	Core Eudicots	Physenaceae	Physena madagascariensis	leaves	sequenced	Chase 33153 K	M. Chase	BGI
BKQU	Core Eudicots	Phytolaccaceae	Phytolacca americana	leaves and young flowers	sequenced	Soltis and Miles 2759	D. Soltis	BGI
AZBL	Core Eudicots	 Petiveriaceae	Petiveria alliacea	young leaves	sequenced	Soltis and Miles 2939	D. Soltis	D. Soltis
MRKX	Core Eudicots	Phytolaccaceae	Phytolacca bogotensis	"flowers	 developing fruits	 leaves	 stem"	sequenced	132753 (ALTA)	M. Deyholos	M. Deyholos
YNFJ	Core Eudicots	Miroteaceae	Microtea debilis	young leaves	sequenced	Soltis and Miles 2997	D. Soltis	I. Jordon-Thaden
SFKQ	Core Eudicots	Phytolaccaceae	Hilleria latifolia	young leaves and flower buds	sequenced	Soltis and Miles 2976	D. Soltis	BGI
WOBD	Core Eudicots	Plumbaginaceae	Limonium spectabile		sequenced		J. Leebens-Mack	J. Leebens-Mack
CGGO	Core Eudicots	Plumbaginaceae	Plumbago auriculata		sequenced		J. Leebens-Mack	J. Leebens-Mack
FYSJ	Core Eudicots	Polygonaceae	Polygonum convolvulus	young shoot	sequenced	"Zuidof-Lacombe AB	 Wild buckwheat#1"	N. Stewart	BGI
CZJT	Core Eudicots	Portulacaceae	Portulaca oleracea	young shoot	sequenced	"Zuidof-Lacombe AB	 Purslane#1"	N. Stewart	BGI
QMUN	Core Eudicots	Portulacaceae	Portulaca amilis	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
LFQH	Core Eudicots	Portulacaceae	Portulaca amilis	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
VPCP	Core Eudicots	Portulacaceae	Portulaca cryptopetala	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
TMMR	Core Eudicots	Portulacaceae	Portulaca cryptopetala	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
CPLT	Core Eudicots	Portulacaceae	Portulaca grandiflora	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
BYNZ	Core Eudicots	Portulacaceae	Portulaca umbraticola	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
UQCB	Core Eudicots	Portulacaceae	Portulaca molokiniensis	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
TRLB	Core Eudicots	Portulacaceae	Portulaca oleracea	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
IWIS	Core Eudicots	Portulacaceae	Portulaca pilosa	juvenile leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
GCYL	Core Eudicots	Portulacaceae	Portulaca suffrutescens	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
KDCH	Core Eudicots	Portulacaceae	Portulaca umbraticola	mature leaf	sequenced	in preparation	J. Hibberd	J. Hibberd
LKKX	Core Eudicots	Talinaceae	Talinum sp.	young leaves	sequenced	Soltis and Miles 2979	D. Soltis	D. Soltis
GIWN	Core Eudicots	Sarcobataceae	Sarcobatus vermiculatus		sequenced		J. Leebens-Mack	J. Leebens-Mack
CVDF	Core Eudicots	Simmondsiaceae	Simmondsia chinensis		sequenced		J. Leebens-Mack	J. Leebens-Mack
HTDC	Core Eudicots	Tamaricaceae	Tamarix chinensis	leaves	sequenced	Chase 33138	M. Chase	BGI
STKY	Core Eudicots	Balanophoraceae	Balanophora fungosa		sequenced		J. Leebens-Mack	J. Leebens-Mack
XKPS	Core Eudicots	Olacaceae	Ximenia americana	young leaves and shoots	sequenced	Soltis and Miles 2949	D. Soltis	D. Soltis
VGVI	Core Eudicots	Loranthaceae	Dendropemon caribaeus	seedlings / whole plant	sequenced	CWD 2012.10	C. DePamphilis	C. DePamphilis
RSPO	Core Eudicots	Santalaceae	Santalum acuminatum		sequenced	Pfc38A	A. Lowe	BGI
BSEY	Core Eudicots	Santalaceae	Daenikera sp.		sequenced		J. Leebens-Mack	J. Leebens-Mack
XGFU	Core Eudicots	Santalaceae	Exocarpos cupressiformis		sequenced	DJ490A	A. Lowe	BGI
QKMG	Core Eudicots	Viscaceae	Phoradendron serotinum	"leaves	 stem	 fruit"	sequenced	CWD+JRM 2012.4	C. DePamphilis	C. DePamphilis
YHXT	Core Eudicots	Hamamelidaceae	Hamamelis virginiana	leaves	sequenced	1440/57B	D. W. Stevenson	BGI
DMKC	Core Eudicots	Hamamelidaceae	Hamamelis virginiana	leaves	sequenced	Soltis and Miles 2792	D. Soltis	BGI
HQRJ	Core Eudicots	Hamamelidaceae	Loropetalum chinense	leaves	sequenced	Soltis and Miles 2858	D. Soltis	BGI
OMDH	Core Eudicots	Hamamelidaceae	Loropetalum chinense	leaves	sequenced	Chase 34458 K	M. Chase	BGI
FWBF	Core Eudicots	Alangiaceae	Alangium chinense	leaves	sequenced	Chase 34454 K	M. Chase	BGI
LMVB	Core Eudicots	Altingiaceae	Liquidambar styraciflua	leaves	sequenced	Soltis and Miles 2850	D. Soltis	BGI
NUZN	Core Eudicots	Cercidiphyllaceae	Cercidiphyllum japonicum	young leaves	sequenced	DWS NY 65/100A	D. W. Stevenson	BGI
ZJUL	Core Eudicots	Crassulaceae	Rhodiola rosea	"flowers	 stem	 leaves"	sequenced	132756 (ALTA)	M. Deyholos	M. Deyholos
KWGC	Core Eudicots	Crassulaceae	Crassula perforata	young leaves	sequenced	Soltis and Miles 2809	D. Soltis	BGI
DRIL	Core Eudicots	Crassulaceae	Kalanchoe crenato-diagremontiana	young leaves	sequenced	Soltis and Miles 2808	D. Soltis	BGI
FYTP	Core Eudicots	Daphniphyllaceae	Daphniphyllum macropodum	vegetative shoot meristems	sequenced	Chase 33136	M. Chase	BGI
SYHW	Core Eudicots	Grossulariaceae	Ribes aff. giraldii	leaves	sequenced	Chase 34453 K	M. Chase	BGI
IUSR	Core Eudicots	Haloragaceae	Myriophyllum aquaticum	leaves	sequenced	Soltis and Miles 2788	D. Soltis	BGI
TOKV	Core Eudicots	[Aphanopetalaceae]	Aphanopetalum resinosum	leaves	sequenced	Chase 34479 K	M. Chase	BGI
UWFU	Core Eudicots	Iteaceae	Itea virginica	leaves	sequenced	Soltis and Miles 2760	D. Soltis	BGI
HTIP	Core Eudicots	Paeoniacae	Paeonia lactiflora	flower buds	sequenced	Chase 33134 	M. Chase	BGI
FCBJ	Core Eudicots	Saxifragaceae	Saxifraga stolonifera	leaves	sequenced	Soltis and Miles 2795	D. Soltis	BGI
ERIA	Core Eudicots	Saxifragaceae	Heuchera sanguinea	young leaves	sequenced	Soltis and Miles 2906	D. Soltis	BGI
CIAC	Core Eudicots	Saxifragaceae	Bergenia sp.	young leaves	sequenced	Soltis and Miles 2904	D. Soltis	BGI
UHBY	Core Eudicots	Saxifragaceae	Oresitrophe rupifraga	young leaves	sequenced	Soltis and Miles 2918	J. Leebens-Mack	J. Leebens-Mack
DAYQ	Core Eudicots	Saxifragaceae	Mitella pentandra		sequenced		J. Leebens-Mack	J. Leebens-Mack
OOVX	Core Eudicots	Saxifragaceae	Boykinia jamesii	young leaves	sequenced	Chase 38782	D. Soltis	D. Soltis
CKKR	Core Eudicots	Saxifragaceae	Astilbe chinensis	young leaves	sequenced	Chase 38784	D. Soltis	D. Soltis
